date,purchase_price,sale_price
1997-07-23,,26.67
1997-07-24,,26.67
1997-07-25,,26.71
1997-07-28,,26.74
1997-07-29,,26.77
1997-07-30,,26.75
1997-07-31,,26.73
1997-08-01,,26.7
1997-08-04,,26.74
1997-08-05,,26.64
1997-08-06,,26.65
1997-08-07,,26.54
1997-08-08,,26.55
1997-08-11,,26.51
1997-08-12,,26.38
1997-08-13,,26.27
1997-08-14,,26.18
1997-08-15,,26.11
1997-08-18,,26.07
1997-08-19,,26.11
1997-08-20,,26.27
1997-08-21,,26.29
1997-08-22,,26.33
1997-08-25,,26.44
1997-08-26,,26.46
1997-08-27,,26.4
1997-08-28,,26.36
1997-08-29,,26.35
1997-09-01,,26.27
1997-09-02,,26.23
1997-09-03,,26.2
1997-09-04,,26.09
1997-09-05,,25.78
1997-09-08,,25.77
1997-09-09,,25.72
1997-09-10,,25.72
1997-09-11,,25.76
1997-09-12,,25.74
1997-09-15,,25.83
1997-09-16,,25.9
1997-09-17,,25.9
1997-09-18,,25.92
1997-09-19,,26.02
1997-09-22,,26.09
1997-09-23,,26.1
1997-09-24,,26.14
1997-09-25,,26.2
1997-09-26,,26.26
1997-09-29,,26.39
1997-09-30,,26.39
1997-10-01,,26.36
1997-10-02,,26.37
1997-10-03,,26.35
1997-10-06,,26.36
1997-10-07,,26.38
1997-10-08,,26.42
1997-10-09,,26.51
1997-10-10,,26.6
1997-10-13,,26.74
1997-10-14,,26.89
1997-10-15,,27.07
1997-10-16,,27.25
1997-10-17,,27.44
1997-10-20,,27.64
1997-10-21,,27.85
1997-10-22,,27.88
1997-10-23,,27.91
1997-10-24,,27.92
1997-10-27,,27.93
1997-10-28,,27.87
1997-10-29,,27.79
1997-10-30,,27.79
1997-10-31,,27.71
1997-11-03,,27.39
1997-11-04,,27.42
1997-11-05,,27.39
1997-11-06,,27.07
1997-11-07,,27.08
1997-11-10,,27
1997-11-11,,26.97
1997-11-12,,26.83
1997-11-13,,26.83
1997-11-14,,26.79
1997-11-17,,26.56
1997-11-18,,26.41
1997-11-19,,26.37
1997-11-20,,26.42
1997-11-21,,26.53
1997-11-24,,26.55
1997-11-25,,26.7
1997-11-26,,26.7
1997-11-27,,26.78
1997-11-28,,26.8
1997-12-01,,26.99
1997-12-02,,27.09
1997-12-03,,27.26
1997-12-04,,27.44
1997-12-05,,27.46
1997-12-08,,27.42
1997-12-09,,27.4
1997-12-10,,27.35
1997-12-11,,27.34
1997-12-12,,27.33
1997-12-15,,27.28
1997-12-16,,27.25
1997-12-17,,27.11
1997-12-18,,27.07
1997-12-19,,27.08
1997-12-22,,27.07
1997-12-23,,27.06
1997-12-26,,27.11
1997-12-29,,27.12
1997-12-30,,27.15
1998-01-02,,27.19
1998-01-05,,27.24
1998-01-06,,27.2
1998-01-07,,27.16
1998-01-08,,27.14
1998-01-09,,27.05
1998-01-12,,26.97
1998-01-13,,26.84
1998-01-14,,26.57
1998-01-15,,26.52
1998-01-16,,26.44
1998-01-19,,26.42
1998-01-20,,26.33
1998-01-21,,26.25
1998-01-22,,26.22
1998-01-23,,26.16
1998-01-26,,26.03
1998-01-27,,26.04
1998-01-28,,26.04
1998-01-29,,26.05
1998-01-30,,26.11
1998-02-02,,26.14
1998-02-03,,26.22
1998-02-04,,26.22
1998-02-05,,26.31
1998-02-06,,26.36
1998-02-09,,26.38
1998-02-10,,26.38
1998-02-11,,26.41
1998-02-12,,26.44
1998-02-13,,26.42
1998-02-16,,26.39
1998-02-17,,26.47
1998-02-18,,26.52
1998-02-19,,26.54
1998-02-20,,26.55
1998-02-25,,26.59
1998-02-26,,26.58
1998-02-27,,26.61
1998-03-02,,26.68
1998-03-03,,26.7
1998-03-04,,26.82
1998-03-05,,26.9
1998-03-06,,26.97
1998-03-09,,27.03
1998-03-10,,26.98
1998-03-11,,26.75
1998-03-12,,26.7
1998-03-13,,26.7
1998-03-16,,26.68
1998-03-17,,26.68
1998-03-18,,26.72
1998-03-19,,26.7
1998-03-20,,26.69
1998-03-23,,26.7
1998-03-24,,26.75
1998-03-25,,26.78
1998-03-26,,26.78
1998-03-27,,26.79
1998-03-30,,26.81
1998-03-31,,26.82
1998-04-01,,26.89
1998-04-02,,26.92
1998-04-03,,26.95
1998-04-06,,27.03
1998-04-07,,27.05
1998-04-08,,27.07
